Simulation number	Chl-a (ug/l)	TSM (mg/l)	a400 (1/m)	a_tot_443 (1/m)	a_ph_443 (1/m)	a_cdom_443 (1/m)	a_tsm_443 (1/m)	a_w_443 (1/m)	b_tot_443 (1/m)	b_tsm_443 (1/m)	b_w_443 (1/m)	S3400	S3412.5	S3442.5	S3490	S3510	S3560	S3620	S3665	S3673.75	S3681.25	S3708.75	S3753.75
3447	1.2	1.74	19.68	10.085	0.047004	9.8908	0.13976	0.007046	1.6579	1.6542	0.0037518	5.46E-05	6.38E-05	9.47E-05	0.000184744	0.000243474	0.000485526	0.000831442	0.000947684	0.000957015	0.000958977	0.00069432	0.000239197
3448	69.3	63.91	34.44	23.502	1.053	17.309	5.1333	0.007046	60.761	60.758	0.0037518	0.000829202	0.000971699	0.001442162	0.002845293	0.003785569	0.007756068	0.013853122	0.016574011	0.016047432	0.016388133	0.021346271	0.010398061
3449	2.6	3.02	7.38	4.0437	0.085023	3.709	0.24257	0.007046	2.8748	2.871	0.0037518	0.000228137	0.000267343	0.000397366	0.00077983	0.001025901	0.002010565	0.002473634	0.002160413	0.002090398	0.00204475	0.001349645	0.000422692
3450	9.48	1.98	6.97	3.8983	0.22919	3.503	0.15904	0.007046	1.8861	1.8823	0.0037518	0.000165005	0.000191319	0.000277608	0.000531611	0.000695289	0.001342662	0.001526864	0.00125307	0.001180087	0.001161122	0.000864516	0.000276708
3451	2.25	1.2	14.76	7.5976	0.076104	7.4181	0.096385	0.007046	1.1446	1.1408	0.0037518	5.34E-05	6.21E-05	9.08E-05	0.000174349	0.000228354	0.000447165	0.000690267	0.000713226	0.000707014	0.000702321	0.00049734	0.000166773
3452	10.15	2.09	12.3	6.5982	0.24151	6.1817	0.16787	0.007046	1.9907	1.9869	0.0037518	0.000100145	0.000116706	0.00017138	0.000332022	0.000436907	0.00086477	0.001233505	0.001164125	0.001116325	0.0011114	0.000871743	0.000289889
3453	4.6	1.2	11.69	6.1103	0.13167	5.8752	0.096385	0.007046	1.1446	1.1408	0.0037518	6.70E-05	7.77E-05	0.000113017	0.000215977	0.000282352	0.00054854	0.00077173	0.000734233	0.000714278	0.000707009	0.000507663	0.000167452
3454	16.5	3.41	14.35	7.8435	0.35049	7.212	0.2739	0.007046	3.2456	3.2418	0.0037518	0.000132	0.000154273	0.000227779	0.000444902	0.000588109	0.001183676	0.001768904	0.001708639	0.001625359	0.001627092	0.001400916	0.00047289
3455	8	2.38	15.99	8.4357	0.20123	8.0363	0.19116	0.007046	2.2664	2.2626	0.0037518	8.71E-05	0.00010183	0.000150817	0.000294752	0.000389127	0.000778439	0.001231136	0.001267653	0.001237665	0.001240204	0.000969955	0.000328521
3456	16.9	3.02	14.76	8.0247	0.357	7.4181	0.24257	0.007046	2.8748	2.871	0.0037518	0.000115205	0.000134537	0.000198313	0.000386477	0.000510443	0.001024837	0.00153612	0.001489005	0.001416746	0.001418702	0.001229653	0.000417966
3457	4.5	1.8	12.92	6.7744	0.12946	6.4933	0.14458	0.007046	1.715	1.7112	0.0037518	8.46E-05	9.88E-05	0.000145628	0.00028277	0.000371859	0.000734029	0.001087421	0.001072077	0.001048447	0.001041357	0.000754044	0.000249649
3458	5.27	1.1	11.48	6.0111	0.14613	5.7696	0.088353	0.007046	1.0495	1.0457	0.0037518	6.36E-05	7.36E-05	0.000106688	0.000202903	0.00026487	0.000512727	0.000711868	0.000669985	0.000649624	0.000643024	0.000466016	0.000153783
3459	4.4	0.97	8.61	4.5394	0.12725	4.3272	0.077911	0.007046	0.92591	0.92216	0.0037518	7.66E-05	8.85E-05	0.000127325	0.000240125	0.000311931	0.000593219	0.000734014	0.000642875	0.000618749	0.000607637	0.000422648	0.000136533
3460	4.4	1.39	20.91	10.755	0.12725	10.509	0.11165	0.007046	1.3252	1.3214	0.0037518	4.25E-05	4.95E-05	7.28E-05	0.000140544	0.000184812	0.000366899	0.000625652	0.000704001	0.000703392	0.000708632	0.000545811	0.000191115
3461	6.4	1.68	15.38	8.0413	0.16959	7.7297	0.13494	0.007046	1.6009	1.5971	0.0037518	6.72E-05	7.83E-05	0.000115193	0.000223121	0.000293503	0.000581262	0.000902962	0.000922188	0.00090256	0.00090203	0.000686667	0.00023228
3462	6	1.28	12.3	6.453	0.16141	6.1817	0.10281	0.007046	1.2206	1.2169	0.0037518	6.69E-05	7.77E-05	0.000113105	0.000216484	0.000283365	0.000552758	0.000788971	0.000755239	0.000732704	0.000727211	0.000536959	0.000178261
3463	3.03	1.05	13.84	7.1427	0.095606	6.9557	0.084337	0.007046	1.002	0.99821	0.0037518	5.12E-05	5.94E-05	8.63E-05	0.000164466	0.000214889	0.000418104	0.000626286	0.000629912	0.000620491	0.000615705	0.000438561	0.000146477
3464	7.65	1.86	15.99	8.3871	0.19445	8.0363	0.1494	0.007046	1.772	1.7683	0.0037518	7.04E-05	8.21E-05	0.000121015	0.000234983	0.000309489	0.000615231	0.000965928	0.000991861	0.000968884	0.000970188	0.000755297	0.000256789
3465	4.6	1.45	12.92	6.7485	0.13167	6.4933	0.11647	0.007046	1.3822	1.3785	0.0037518	7.07E-05	8.23E-05	0.000120551	0.000232338	0.000304764	0.000597787	0.000878113	0.000861696	0.00084199	0.000835978	0.000606631	0.000201459
3466	5.75	3.02	18.45	9.6784	0.15623	9.2726	0.24257	0.007046	2.8748	2.871	0.0037518	9.37E-05	0.000109938	0.000164087	0.000323404	0.000428206	0.000864228	0.001453354	0.001588638	0.001573819	0.001583387	0.001220574	0.000416123
3467	9.3	1.63	17.63	9.2243	0.22585	8.8605	0.13092	0.007046	1.5534	1.5496	0.0037518	5.71E-05	6.66E-05	9.77E-05	0.000188837	0.000248459	0.000493379	0.000789565	0.000824007	0.000804523	0.000808028	0.000650504	0.000224685
3468	19	2.91	15.99	8.6676	0.39053	8.0363	0.23373	0.007046	2.7702	2.7665	0.0037518	0.000103022	0.000120267	0.000177154	0.000344929	0.00045552	0.000915226	0.001395364	0.001370445	0.001303025	0.001306879	0.001166691	0.000401869
3469	20.9	2.21	17.22	9.2591	0.42013	8.6544	0.17751	0.007046	2.1047	2.101	0.0037518	7.52E-05	8.75E-05	0.000128272	0.000248133	0.000326972	0.000653552	0.001003755	0.000994289	0.000944919	0.00094855	0.000867926	0.000304261
